,movie_id,movie_date,movie_condition,movie_index,cell_id,cell_mean_speed,cell_initial_distance
174,13,416,Water,1,7,0.08501280648461007,476.7715124169575
175,13,416,Water,1,8,0.0855881093250151,429.7944695378033
176,13,416,Water,1,9,0.09281855367277561,460.4114212803667
177,13,416,Water,1,10,0.09477082166884683,456.4088457855525
178,13,416,Water,1,11,0.08843171991307927,864.9770233208302
179,13,416,Water,1,12,0.08187435649626541,890.9632166367095
180,13,416,Water,1,13,0.07791471252757705,875.1400230659093
181,13,416,Water,1,14,0.06839780509980423,828.8934891927379
182,13,416,Water,1,15,0.09604211332411206,866.6362456050696
183,10,416,Apyrase,1,0,0.1731994108112302,176.39771160788519
184,10,416,Apyrase,1,1,0.1457883543099212,148.9788703885788
185,10,416,Apyrase,1,2,0.1154489856110771,173.2963853311957
186,10,416,Apyrase,1,3,0.1653469313816299,146.29206732396966
187,10,416,Apyrase,1,4,0.11132037071447219,131.52191523315037
188,10,416,Apyrase,1,5,0.1167513974600633,484.8031642910427
189,10,416,Apyrase,1,6,0.11566031374843859,476.4598144391685
190,10,416,Apyrase,1,7,0.1110806819800843,501.0059270799238
191,10,416,Apyrase,1,8,0.09728929152555377,522.6429020579069
192,10,416,Apyrase,1,9,0.1206827958142543,444.244196813821
193,10,416,Apyrase,1,10,0.08955829032518213,456.0849592559322
194,10,416,Apyrase,1,11,0.0944960520031239,936.405302391029
195,10,416,Apyrase,1,12,0.08258241563630793,925.5428554784493
196,10,416,Apyrase,1,13,0.11502962392697454,850.5009147345025
197,10,416,Apyrase,1,14,0.0632494563055785,891.531943601935
198,10,416,Apyrase,1,15,0.08651263140586284,883.7232295063089
199,20,418,Water,1,0,0.09770561259871705,152.735516420585
200,20,418,Water,1,1,0.10989814169284827,173.9487872717472
201,20,418,Water,1,2,0.10153604056000534,118.28401782556942
202,20,418,Water,1,3,0.06990593141516992,139.4644453040535
203,20,418,Water,1,4,0.09467251462039036,189.2570759362431
204,20,418,Water,1,5,0.06898005079816859,440.6106391327868
205,20,418,Water,1,6,0.073486581401379,474.4701243298784
206,20,418,Water,1,7,0.08530579053564344,496.9621748626547
207,20,418,Water,1,8,0.08819460248199021,504.2790308588204
208,20,418,Water,1,9,0.10543298260492799,408.13441090570814
209,20,418,Water,1,10,0.04897807147495439,859.3772916413275
210,20,418,Water,1,11,0.07812324440697914,853.4991737526885
211,20,418,Water,1,12,0.060903469608999415,732.5234000664069
212,20,418,Water,1,13,0.057071735391155225,723.2107692566603
213,20,418,Water,1,14,0.05570916513387019,680.5481000155223
214,1,418,Apyrase,1,0,0.07552795669207849,174.83934263038074
215,1,418,Apyrase,1,1,0.08720840017874874,137.75650709632347
216,1,418,Apyrase,1,2,0.08740155487164722,198.84780865763727
217,1,418,Apyrase,1,3,0.07202992762264078,187.46851209504257
218,1,418,Apyrase,1,4,0.0879504128923777,123.1541651466655
219,1,418,Apyrase,1,5,0.057645549647926675,463.2762522536737
220,1,418,Apyrase,1,6,0.056601162198788565,463.4547745805251
221,1,418,Apyrase,1,7,0.06254976016465617,419.3269819360445
222,1,418,Apyrase,1,8,0.05857774524828705,440.57061279040096
223,1,418,Apyrase,1,9,0.045285141872214066,436.8620672893258
224,1,418,Apyrase,1,10,0.04255016028593701,911.8909782883894
225,1,418,Apyrase,1,11,0.05526874471874865,958.0030733302718
226,1,418,Apyrase,1,12,0.047579458479451046,984.5595063133497
227,1,418,Apyrase,1,13,0.04651691963216976,894.0816749680969
228,1,418,Apyrase,1,14,0.035157661636351534,942.7545304464813
229,21,419,Water,1,0,0.043587782377293285,249.67941047022956
230,21,419,Water,1,1,0.06576218853428206,187.14390184325467
231,21,419,Water,1,2,0.06101614950921363,128.55451445878424
232,21,419,Water,1,3,0.05471114404274255,129.75635120844964
233,21,419,Water,1,4,0.05270860732725459,220.75461532855914
234,21,419,Water,1,5,0.052912078430052446,429.44146768474957
235,21,419,Water,1,6,0.07346622625259042,398.7446430938239
236,21,419,Water,1,7,0.038491344048192204,474.49744352498135
237,21,419,Water,1,8,0.043815705649615115,469.45226901299833
238,21,419,Water,1,9,0.07109205461495349,428.4206451457217
239,18,606,Apyrase,1,0,0.04810986567629174,209.838777376667
240,18,606,Apyrase,1,1,0.04288487254797419,153.00673695730512
241,18,606,Apyrase,1,2,0.014678908134534846,165.0944205654989
242,18,606,Apyrase,1,3,0.06866559041098722,132.96587198945562
243,18,606,Apyrase,1,4,0.0649748056312441,169.61944950841533
244,18,606,Apyrase,1,5,0.03769171053042288,500.81605496484843
245,18,606,Apyrase,1,6,0.0699436576299287,479.0480311684268
246,18,606,Apyrase,1,7,0.03866073490296733,426.56378125064964
247,18,606,Apyrase,1,8,0.08735793806157438,437.35855967873175
248,18,606,Apyrase,1,9,0.06541905890163112,394.62624202110635
249,18,606,Apyrase,1,10,0.04706812935804381,890.2467475651548
250,18,606,Apyrase,1,11,0.036703281147273954,949.2705056111528
251,18,606,Apyrase,1,12,0.0769122952189716,850.9105276935767
252,18,606,Apyrase,1,13,0.06523926615384783,789.6724635455704
253,18,606,Apyrase,1,14,0.017148558878074312,1031.919878539062
254,17,610,Water,1,0,0.09232921805846285,124.07350806629425
255,17,610,Water,1,1,0.0693435721461442,127.59449745890069
256,17,610,Water,1,2,0.11003088819370008,170.60618871459357
257,17,610,Water,1,3,0.07929572953285466,193.8244031041191
258,17,610,Water,1,4,0.07699048425427098,111.30629254225802
259,17,610,Water,1,5,0.054500928061687944,427.5665722356968
260,17,610,Water,1,6,,432.4956731526627
261,17,610,Water,1,7,0.048585008339207925,428.2020383596417
262,17,610,Water,1,8,0.03010612368222257,631.5879338986797
263,17,610,Water,1,9,0.06764387534561063,341.9437562965488
264,17,610,Water,1,10,0.016312681078170323,858.0784232680493
265,17,610,Water,1,11,0.009765884137326306,957.3934861962622
266,17,610,Water,1,12,0.0270652660634803,739.9590860485604
267,17,610,Water,1,13,0.00334348923814264,759.7554557388079
268,17,610,Water,1,14,0.021718560281516707,749.8307989793069
269,27,610,Apyrase,1,0,0.05454096289207542,127.78423590517605
270,27,610,Apyrase,1,1,0.06435243289443565,130.9681825421558
271,27,610,Apyrase,1,2,0.062033610330751866,141.4661484900716
272,27,610,Apyrase,1,3,0.05893699349515434,135.96202945532386
273,27,610,Apyrase,1,4,0.07035190482558563,65.11059353129663
274,27,610,Apyrase,1,5,0.05269695845276537,598.3863225020259
275,27,610,Apyrase,1,6,0.044134755137592865,627.7943803459927
276,27,610,Apyrase,1,7,0.05326844048028349,598.5598887209995
